file,text
720.mp3,Робот-пылесос застрял. Переместите его в другое место и запустите.
730.mp3,Робот пылесос находится на весу. Переместите его в другое место и запустите.
740.mp3,Робот-пылесос наклонен. Переместите его в другое место и запустите.
750.mp3,На маршруте уборки есть преграда. Устраните препятствие.
760.mp3,Не удалось добраться до целевой зоны. Уборка не завершена. Возвращение на станцию для зарядки.
771.mp3,Не удалось найти целевую зону. Уборка не завершена. Возвращение на станцию для зарядки.
780.mp3,Робот-пылесос находится в запретной зоне. Переместите робот-пылесос из этой зоны.
800.mp3,начать сушку губки
801.mp3,начать очистку губки.
802.mp3,Возвращение на станцию для очистки губок.
803.mp3,"Сейчас начнется очистка от пыли. 3, 2, 1."
804.mp3,В резервуаре для чистой воды недостаточно воды. Наполните его.
806.mp3,Установите резервуар для чистой воды.
807.mp3,Резервуар для грязной воды заполнен. Освободите его перед использованием.
808.mp3,Установите резервуар для грязной воды.
810.mp3,Установите одноразовый мешок.
815.mp3,Резервуар для грязной воды не установлен или полон.
816.mp3,Поддон для влажной уборки не установлен или уровень воды слишком высокий.
817.mp3,Завершить сушку губки для влажной уборки.
818.mp3,Резервуар для чистой воды не установлен или в нем недостаточно воды.
900.mp3,"Робот-пылесос и станция сопряжены неправильно. Одновременно нажмите и удерживайте кнопку очистки, губки и кнопку сушки в течение 7 секунд для повторного сопряжения."
910.mp3,Уберите робок пылесос с ковра.
